HS Code,Commodity Description
01,Live Animals
02,Meat And Edible Meat Offal
03,"Fish, Crustaceans & Aquatic Invertebrates"
04,Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi
05,"Products Of Animal Origin, Nesoi"
06,"Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc."
07,Edible Vegetables & Certain Roots & Tubers
08,Edible Fruit & Nuts; Citrus Fruit Or Melon Peel
09,"Coffee, Tea, Mate & Spices"
10,Cereals
11,Milling Products; Malt; Starch; Inulin; Wht Gluten
12,"Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc"
13,"Lac; Gums, Resins & Other Vegetable Sap & Extract"
14,Vegetable Plaiting Materials & Products Nesoi
15,"Animal Or Vegetable Fats, Oils Etc. & Waxes"
16,"Edible Preparations Of Meat, Fish, Crustaceans Etc"
17,Sugars And Sugar Confectionary
18,Cocoa And Cocoa Preparations
19,"Prep Cereal, Flour, Starch Or Milk; Bakers Wares"
20,"Prep Vegetables, Fruit, Nuts Or Other Plant Parts"
21,Miscellaneous Edible Preparations
22,"Beverages, Spirits And Vinegar"
23,Food Industry Residues & Waste; Prep Animal Feed
24,Tobacco And Manufactured Tobacco Substitutes
25,Salt; Sulfur; Earth & Stone; Lime & Cement Plaster
26,"Ores, Slag And Ash"
27,"Mineral Fuel, Oil Etc.; Bitumin Subst; Mineral Wax"
28,Inorg Chem; Prec & Rare-earth Met & Radioact Compd
29,Organic Chemicals
30,Pharmaceutical Products
31,Fertilizers
32,"Tanning & Dye Ext Etc; Dye, Paint, Putty Etc; Inks"
33,"Essential Oils Etc; Perfumery, Cosmetic Etc Preps"
34,"Soap Etc; Waxes, Polish Etc; Candles; Dental Preps"
35,Albuminoidal Subst; Modified Starch; Glue; Enzymes
36,Explosives; Pyrotechnics; Matches; Pyro Alloys Etc
37,Photographic Or Cinematographic Goods
38,Miscellaneous Chemical Products
39,Plastics And Articles Thereof
40,Rubber And Articles Thereof
41,Raw Hides And Skins (no Furskins) And Leather
42,Leather Art; Saddlery Etc; Handbags Etc; Gut Art
43,Furskins And Artificial Fur; Manufactures Thereof
44,Wood And Articles Of Wood; Wood Charcoal
45,Cork And Articles Of Cork
46,"Mfr Of Straw, Esparto Etc.; Basketware & Wickerwrk"
47,Wood Pulp Etc; Recovd (waste & Scrap) ppr & pprbd
48,Paper & Paperboard & Articles (inc Papr Pulp Artl)
49,"Printed Books, Newspapers Etc; Manuscripts Etc"
50,"Silk, Including Yarns And Woven Fabric Thereof"
51,"Wool & Animal Hair, Including Yarn & Woven Fabric"
52,"Cotton, Including Yarn And Woven Fabric Thereof"
53,Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab
54,"Manmade Filaments, Including Yarns & Woven Fabrics"
55,"Manmade Staple Fibers, Incl Yarns & Woven Fabrics"
56,"Wadding, Felt Etc; Sp Yarn; Twine, Ropes Etc."
57,Carpets And Other Textile Floor Coverings
58,Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc
59,Impregnated Etc Text Fabrics; Tex Art For Industry
60,Knitted Or Crocheted Fabrics
61,"Apparel Articles And Accessories, Knit Or Crochet"
62,"Apparel Articles And Accessories, Not Knit Etc."
63,Textile Art Nesoi; Needlecraft Sets; Worn Text Art
64,"Footwear, Gaiters Etc. And Parts Thereof"
65,Headgear And Parts Thereof
66,"Umbrellas, Walking-sticks, Riding-crops Etc, Parts"
67,"Prep Feathers, Down Etc; Artif Flowers; H Hair Art"
68,"Art Of Stone, Plaster, Cement, Asbestos, Mica Etc."
69,Ceramic Products
70,Glass And Glassware
71,"Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin"
72,Iron And Steel
73,Articles Of Iron Or Steel
74,Copper And Articles Thereof
75,Nickel And Articles Thereof
76,Aluminum And Articles Thereof
78,Lead And Articles Thereof
79,Zinc And Articles Thereof
80,Tin And Articles Thereof
81,Base Metals Nesoi; Cermets; Articles Thereof
82,"Tools, Cutlery Etc. Of Base Metal & Parts Thereof"
83,Miscellaneous Articles Of Base Metal
84,"Nuclear Reactors, Boilers, Machinery Etc.; Parts"
85,Electric Machinery Etc; Sound Equip; Tv Equip; Pts
86,Railway Or Tramway Stock Etc; Traffic Signal Equip
87,"Vehicles, Except Railway Or Tramway, And Parts Etc"
88,"Aircraft, Spacecraft, And Parts Thereof"
89,"Ships, Boats And Floating Structures"
90,"Optic, Photo Etc, Medic Or Surgical Instrments Etc"
91,Clocks And Watches And Parts Thereof
92,Musical Instruments; Parts And Accessories Thereof
93,Arms And Ammunition; Parts And Accessories Thereof
94,Furniture; Bedding Etc; Lamps Nesoi Etc; Prefab Bd
95,"Toys, Games & Sport Equipment; Parts & Accessories"
96,Miscellaneous Manufactured Articles
97,"Works Of Art, Collectors' Pieces And Antiques"
98,"Special Classification Provisions, Nesoi"
99,"Special Import Provisions, Nesoi"
